id_cliente;abandono_cliente;genero;jubilado;pareja;dependientes;meses_antiguedad;servicio_telefono;ad.multiples_lineas;servicio_internet;ad.seguridad_online;ad.respaldo_online;ad.proteccion_dispositivo;ad.soporte_tecnico;tv.streaming;peliculas.streaming;contrato;factura_digital;metodo_pago;cargo.diario;cargo.mensual;cargo.total
0002-ORFBO;No;Femenino;False;Si;Si;9;Si;No;DSL;No;Si;No;Si;Si;No;Un año;Si;Cheque por correo;2.16;65.6;593.3
0003-MKNFE;No;Masculino;False;No;No;9;Si;Si;DSL;No;No;No;No;No;Si;Mes a mes;No;Cheque por correo;1.97;59.9;542.4
0004-TLHLJ;Si;Masculino;False;No;No;4;Si;No;Fibra óptica;No;No;Si;No;No;No;Mes a mes;Si;Cheque electrónico;2.43;73.9;280.85
0011-IGKFF;Si;Masculino;True;Si;No;13;Si;No;Fibra óptica;No;Si;Si;No;Si;Si;Mes a mes;Si;Cheque electrónico;3.22;98.0;1237.85
0013-EXCHZ;Si;Femenino;True;Si;No;3;Si;No;Fibra óptica;No;No;No;Si;Si;No;Mes a mes;Si;Cheque por correo;2.76;83.9;267.4
0013-MHZWF;No;Femenino;False;No;Si;9;Si;No;DSL;No;No;No;Si;Si;Si;Mes a mes;Si;Tarjeta de crédito (automática);2.2800000000000002;69.4;571.45
0013-SMEOE;No;Femenino;True;Si;No;71;Si;No;Fibra óptica;Si;Si;Si;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);3.61;109.7;7904.25
0014-BMAQU;No;Masculino;False;Si;No;63;Si;Si;Fibra óptica;Si;No;No;Si;No;No;Dos años;Si;Tarjeta de crédito (automática);2.7800000000000002;84.65;5377.8
0015-UOCOJ;No;Femenino;True;No;No;7;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;Si;Cheque electrónico;1.58;48.2;340.35
0016-QLJIS;No;Femenino;False;Si;Si;65;Si;Si;DSL;Si;Si;Si;Si;Si;Si;Dos años;Si;Cheque por correo;2.9699999999999998;90.45;5957.9
0017-DINOC;No;Masculino;False;No;No;54;No;Sin servicio telefónico;DSL;Si;No;No;Si;Si;No;Dos años;No;Tarjeta de crédito (automática);1.49;45.2;2460.55
0017-IUDMW;No;Femenino;False;Si;Si;72;Si;Si;Fibra óptica;Si;Si;Si;Si;Si;Si;Dos años;Si;Tarjeta de crédito (automática);3.84;116.8;8456.75
0018-NYROU;No;Femenino;False;Si;No;5;Si;No;Fibra óptica;No;No;No;No;No;No;Mes a mes;Si;Cheque electrónico;2.27;68.95;351.5
0019-EFAEP;No;Femenino;False;No;No;72;Si;Si;Fibra óptica;Si;Si;Si;No;Si;No;Dos años;Si;Transferencia bancaria (automática);3.33;101.3;7261.25
0019-GFNTW;No;Femenino;False;No;No;56;No;Sin servicio telefónico;DSL;Si;Si;Si;Si;No;No;Dos años;No;Transferencia bancaria (automática);1.48;45.05;2560.1
0020-INWCK;No;Femenino;False;Si;Si;71;Si;Si;Fibra óptica;No;Si;Si;No;No;Si;Dos años;Si;Tarjeta de crédito (automática);3.15;95.75;6849.4
0020-JDNXP;No;Femenino;False;Si;Si;34;No;Sin servicio telefónico;DSL;Si;No;Si;Si;Si;Si;Un año;No;Cheque por correo;2.01;61.25;1993.2
0021-IKXGC;No;Femenino;True;No;No;1;Si;Si;Fibra óptica;No;No;No;No;No;No;Mes a mes;Si;Cheque electrónico;2.37;72.1;72.1
0022-TCJCI;Si;Masculino;True;No;No;45;Si;No;DSL;Si;No;Si;No;No;Si;Un año;No;Tarjeta de crédito (automática);2.06;62.7;2791.5
0023-HGHWL;Si;Masculino;True;No;No;1;No;Sin servicio telefónico;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque electrónico;0.8300000000000001;25.1;25.1
0023-UYUPN;No;Femenino;True;Si;No;50;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Cheque electrónico;0.8300000000000001;25.2;1306.3
0023-XUOPT;Si;Femenino;False;Si;No;13;Si;Si;Fibra óptica;No;Si;Si;No;Si;No;Mes a mes;No;Cheque electrónico;3.09;94.1;1215.6
0027-KWYKW;No;Femenino;False;Si;Si;23;Si;Si;Fibra óptica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electrónico;2.75;83.75;1849.95
0030-FNXPP;No;Femenino;False;No;No;3;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque por correo;0.65;19.85;57.2
0031-PVLZI;Si;Femenino;False;Si;Si;4;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque por correo;0.67;20.35;76.35
0032-PGELS;Si;Femenino;False;Si;Si;1;No;Sin servicio telefónico;DSL;Si;No;No;No;No;No;Mes a mes;No;Transferencia bancaria (automática);1.0;30.5;30.5
0036-IHMOT;No;Femenino;False;Si;Si;55;Si;No;Fibra óptica;No;Si;Si;Si;Si;Si;Un año;Si;Transferencia bancaria (automática);3.41;103.7;5656.75
0040-HALCW;No;Masculino;False;Si;Si;54;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Tarjeta de crédito (automática);0.67;20.4;1090.6
0042-JVWOJ;No;Masculino;False;No;No;26;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;Si;Transferencia bancaria (automática);0.64;19.6;471.85
