id_cliente;abandono_cliente;genero.masculino;genero.femenino;jubilado;pareja;dependientes;meses_antiguedad;servicio_telefono;ad.multiples_lineas;servicio_internet.no;servicio_internet.fibra_optica;servicio_internet.dsl;ad.seguridad_online;ad.respaldo_online;ad.proteccion_dispositivo;ad.soporte_tecnico;tv.streaming;peliculas.streaming;contrato.dos_años;contrato.un_año;contrato.mes_a_mes;factura_digital;metodo_pago.cheque_por_correo;metodo_pago.cheque_electrónico;metodo_pago.tarjeta_de_crédito_auto;metodo_pago.transferencia_bancaria_auto;cargo.diario;cargo.mensual;cargo.total
0002-ORFBO;False;False;True;False;True;True;9;True;False;False;False;True;False;True;False;True;True;False;False;True;False;True;True;False;False;False;2.16;65.6;593.3
0003-MKNFE;False;True;False;False;False;False;9;True;True;False;False;True;False;False;False;False;False;True;False;False;True;False;True;False;False;False;1.97;59.9;542.4
0004-TLHLJ;True;True;False;False;False;False;4;True;False;False;True;False;False;False;True;False;False;False;False;False;True;True;False;True;False;False;2.43;73.9;280.85
0011-IGKFF;True;True;False;True;True;False;13;True;False;False;True;False;False;True;True;False;True;True;False;False;True;True;False;True;False;False;3.22;98.0;1237.85
0013-EXCHZ;True;False;True;True;True;False;3;True;False;False;True;False;False;False;False;True;True;False;False;False;True;True;True;False;False;False;2.76;83.9;267.4
0013-MHZWF;False;False;True;False;False;True;9;True;False;False;False;True;False;False;False;True;True;True;False;False;True;True;False;False;True;False;2.2800000000000002;69.4;571.45
0013-SMEOE;False;False;True;True;True;False;71;True;False;False;True;False;True;True;True;True;True;True;True;False;False;True;False;False;False;True;3.61;109.7;7904.25
0014-BMAQU;False;True;False;False;True;False;63;True;True;False;True;False;True;False;False;True;False;False;True;False;False;True;False;False;True;False;2.7800000000000002;84.65;5377.8
0015-UOCOJ;False;False;True;True;False;False;7;True;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;True;False;False;1.58;48.2;340.35
0016-QLJIS;False;False;True;False;True;True;65;True;True;False;False;True;True;True;True;True;True;True;True;False;False;True;True;False;False;False;2.9699999999999998;90.45;5957.9
0017-DINOC;False;True;False;False;False;False;54;False;False;False;False;True;True;False;False;True;True;False;True;False;False;False;False;False;True;False;1.49;45.2;2460.55
0017-IUDMW;False;False;True;False;True;True;72;True;True;False;True;False;True;True;True;True;True;True;True;False;False;True;False;False;True;False;3.84;116.8;8456.75
0018-NYROU;False;False;True;False;True;False;5;True;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;2.27;68.95;351.5
0019-EFAEP;False;False;True;False;False;False;72;True;True;False;True;False;True;True;True;False;True;False;True;False;False;True;False;False;False;True;3.33;101.3;7261.25
0019-GFNTW;False;False;True;False;False;False;56;False;False;False;False;True;True;True;True;True;False;False;True;False;False;False;False;False;False;True;1.48;45.05;2560.1
0020-INWCK;False;False;True;False;True;True;71;True;True;False;True;False;False;True;True;False;False;True;True;False;False;True;False;False;True;False;3.15;95.75;6849.4
0020-JDNXP;False;False;True;False;True;True;34;False;False;False;False;True;True;False;True;True;True;True;False;True;False;False;True;False;False;False;2.01;61.25;1993.2
